Id,Account,Date,Attitude,Text
735983538013503493,@HillaryClinton,Thu May 26 23:58:44 +0000 2016,:),@HillaryClinton Mexico is paying.
735983537514389505,@HillaryClinton,Thu May 26 23:58:43 +0000 2016,:),RT @PeIicans: We'll see. @HillaryClinton https://t.co/ytj4kmDYOF
735983537107542016,@HillaryClinton,Thu May 26 23:58:43 +0000 2016,:),"RT @HillaryClinton: Born on this day in 1951, Dr. Sally Ride was the first American woman &amp; first LGBT astronaut in space. #SallyRideDay ht…"
735983527607439361,@HillaryClinton,Thu May 26 23:58:41 +0000 2016,:),"RT @jamieleecurtis: The meeting of the minds. What a great speech, filled with love, laughter, gratitude and gravitas! @HillaryClinton http…"
735983521269829632,@HillaryClinton,Thu May 26 23:58:40 +0000 2016,:),RT @CMGroupMedia: @HillaryClinton There were no lives lost in #Libya ? And you aren't a pathological LIAR. #DontVote4Hillary https://t.co/U…
735983515334938624,@HillaryClinton,Thu May 26 23:58:38 +0000 2016,:),@HillaryClinton 😕The thing is....you wouldn't do a single one of those things anyway! The wall SAVES 💰💰💰💰💰 STOP LYING!!!! #CrookedHillary
735983513271336961,@HillaryClinton,Thu May 26 23:58:38 +0000 2016,:),@samisblond @mattheufarmer @jayisnotsexy @ShaunKing Superdelegates voiced 4 @HillaryClinton b4 primaries = overriding will of ppl
735983510637449217,@HillaryClinton,Thu May 26 23:58:37 +0000 2016,:),RT @HillaryClinton: Couldn't agree more. https://t.co/gfk8NWAhIY
735983504555642881,@HillaryClinton,Thu May 26 23:58:36 +0000 2016,:),RT @HillaryClinton: Couldn't agree more. https://t.co/gfk8NWAhIY
735983495546294272,@HillaryClinton,Thu May 26 23:58:33 +0000 2016,:),@HillaryClinton Build the WALL! Protect AMERICAN private sector jobs !
735983493893656576,@HillaryClinton,Thu May 26 23:58:33 +0000 2016,:),RT @HillaryClinton: Couldn't agree more. https://t.co/gfk8NWAhIY
735983492480126976,@HillaryClinton,Thu May 26 23:58:33 +0000 2016,:),@jalanshemelya1 @HillaryClinton Hillary thinks she's the anointed one - she can't even handle emails without a scandal. 😳
735983488931876864,@HillaryClinton,Thu May 26 23:58:32 +0000 2016,:),RT @twright55: @elizabethforma Ex-Aide to @HillaryClinton Testifies About Email Server.  https://t.co/fh7PTFReN7
735983486020915200,@HillaryClinton,Thu May 26 23:58:31 +0000 2016,:),"@creynoldsnc @HillaryClinton But Hillary wants to be the White House Madam, so she can control who Bill sleeps with &amp; collect the money"
735983482657210368,@HillaryClinton,Thu May 26 23:58:30 +0000 2016,:),Disgusting excuse for a #human @HillaryClinton  https://t.co/zFcEDtRlhm
735983480538947585,@HillaryClinton,Thu May 26 23:58:30 +0000 2016,:),@agearan @HillaryClinton Of course. They've been turning a blind eye and defending the corrupt Clintons for decades
735983479775723520,@HillaryClinton,Thu May 26 23:58:30 +0000 2016,:),@TheBriefing2016 @HillaryClinton  What the hell has Hillary done for women beside tell them to share their bathrooms with men?
735983478605389824,@HillaryClinton,Thu May 26 23:58:29 +0000 2016,:),Yes! @HillaryClinton thank you for standing up for working and middle class families. #LatinosForHillary #ImWithHer  https://t.co/SxoHToDDC5
735983475493380096,@HillaryClinton,Thu May 26 23:58:29 +0000 2016,:),@DRUDGE_REPORT @the_intercept @HillaryClinton e mails?
735983475342245889,@HillaryClinton,Thu May 26 23:58:29 +0000 2016,:),RT @PatriotsOfMars: Washington Post runs devastating @HillaryClinton email scandal piece next to photo of capsizing ship. https://t.co/D5f9…
735983473635250176,@HillaryClinton,Thu May 26 23:58:28 +0000 2016,:),@HillaryClinton What a monster. I bet he roots for the New York Yankees as well.  And hopes it doesn't rain.  Terrible man.
735983465586270208,@HillaryClinton,Thu May 26 23:58:26 +0000 2016,:),RT @Michbassclub: @Moose96_ @godblessameriga @HillaryClinton I will stick with hate filled. Sorry I am not a bigot so I don't like bigotry.…
735983464034377730,@HillaryClinton,Thu May 26 23:58:26 +0000 2016,:),RT @HillaryClinton: “We’ve got to do more to raise families’ incomes.   We can start by raising the federal minimum wage.” —Hillary https:/…
735983461215834112,@HillaryClinton,Thu May 26 23:58:25 +0000 2016,:),RT @Corinne0721: @cjnapoet @NBCNews it's time that @BernieSanders realizes that @HillaryClinton is the #DemocraticNominee! #ImWithHer #Hill…
